"taxon","mean.elev","sd.elev","mean.lat","sd.lat","mean.long","sd.long","n","ci.elev.low","ci.elev.up","ci.lat.low","ci.lat.up","ci.long.low","ci.long.up"
"Solanum_polyadenium",2097.1581027668,317.412140548869,19.6429040711462,0.634465522287731,-100.062522399209,1.67479495331892,253,2057.85723507917,2136.45897045443,19.5643467560395,19.721461386253,-100.269889687526,-99.8551551108932
"Solanum_raphanifolium",3559.40909090909,566.527694192682,-13.701560991261,0.497008474093362,-71.8313882982698,0.596968241882314,682,3516.81497603326,3602.00320578492,-13.7389283366826,-13.6641936458394,-71.8762710712262,-71.7865055253134
"Solanum_rhomboideilanceolatum",3729.68,702.813579029807,-9.94990859448,1.4971675233814,-76.8017190186,1.36159047817165,100,3590.22653826839,3869.13346173161,-10.2469791124058,-9.6528380765542,-77.0718881093907,-76.5315499278093
"Solanum_salasianum",2333.38461538462,850.427788278889,-9.83549769230769,0.146149261154128,-75.7981323076923,0.061758578777074,13,1819.47624624927,2847.29298451996,-9.92381480692369,-9.7471805776917,-75.8354526433362,-75.7608119720484
"Solanum_schenckii",2232.57272727273,469.440687289036,18.6218081818182,1.45380514557784,-97.5055281818182,1.30857008409115,110,2143.86102521284,2321.28442933261,18.3470779924253,18.896538371211,-97.7528128390019,-97.2582435246344
"Solanum_sogarandinum",3382.68553459119,665.502847271247,-8.84540951754717,1.06710389228334,-77.6640544756604,0.547075631290264,159,3278.44450275034,3486.92656643205,-9.01255532506566,-8.67826371002868,-77.7497456617079,-77.5783632896128
"Solanum_stoloniferum",2305.48490270633,467.125029785506,24.9300445218072,5.68695107121109,-103.687504697159,4.29420325301912,4471,2291.78881570347,2319.18098970919,24.7633033461351,25.0967856974793,-103.813410563065,-103.561598831254
"Solanum_tarnii",2075.27272727273,270.477684178295,20.6504068181818,0.226906768942794,-98.9668981022727,0.437614298280402,88,2017.96398188786,2132.5814726576,20.6023298676306,20.698483768733,-99.0596197124607,-98.8741764920847
"Solanum_venturii",2669.33620689655,995.839553551069,-25.4991821810345,1.76626493700532,-65.7179755775862,0.485560609369528,116,2486.18800549052,2852.48440830259,-25.8240219057326,-25.1743424563363,-65.8072766622464,-65.628674492926
"Solanum_vernei",2542.1564792176,967.234847368542,-25.0807882493888,2.07605035406929,-65.5239256650367,0.594432975044372,409,2448.13900314418,2636.17395529103,-25.2825851708106,-24.8789913279669,-65.5817059323219,-65.4661453977515
"Solanum_verrucosum",2722.12977867203,616.808602586022,20.5834670995976,2.15114298860607,-100.121030681087,1.71065333872311,994,2683.73828644256,2760.5212709015,20.4495753396816,20.7173588595135,-100.227505419094,-100.014555943079
"Solanum_violaceimarmoratum",2855.61304347826,1056.15095140019,-14.4893243666087,1.63981780392617,-70.3216399790435,2.71023948521503,230,2718.39492234753,2992.83116460899,-14.7023741373381,-14.2762745958793,-70.6737619645253,-69.9695179935617
