taxon,MS_PL,ID,CD,CP,AD,AP,outcrossing,selfcompatible,diploid,triploid,tetraploid,pentaploid,hexaploid,polyploid,one.EBN,two.EBN,four.EBN,six.EBN,mean.elev,sd.elev,mean.lat,sd.lat,mean.long,sd.long,Cls.cnt,Cls.mjr
Solanum_hastiforme,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,0,1,0,0,3283.142857,615.0934888,-7.816580427,0.737783128,-77.86714209,0.267624869,4,Cfb
Solanum_hintonii,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,1717.966667,350.3470677,19.5955,1.060971944,-100.34419,0.957839733,4,Cwb
Solanum_hjertingii,CP,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,2039.424837,476.1955825,25.19197364,1.427842781,-100.949598,1.387040144,6,Bsk
Solanum_hougasii,CP,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,2484.229885,625.2065869,19.66482545,1.206694172,-102.9263781,1.102904139,5,Cwa
Solanum_huancabambense,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,0,1,0,0,1976.894737,929.9298492,-5.475949553,0.411892666,-79.53789945,0.19656856,5,Cfb
Solanum_incasicum,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,0,1,0,0,3113.727273,794.4525273,-12.5868391,2.140737457,-73.11770348,1.895030544,3,Cfc
Solanum_infundibuliforme,ID,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,3566.511992,687.8832844,-21.6564521,5.66633379,-65.94509498,1.740437413,8,Cwb
Solanum_iopetalum,CP,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,2348.5117,581.8278259,19.07694493,1.45963863,-99.87178487,2.289216185,10,Cwb
Solanum_kurtzianum,ID,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1626.147761,709.0770232,-30.04404464,2.443505239,-67.80648252,1.111635771,10,Bsk
Solanum_laxissimum,ID,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,2629.224638,1115.466634,-12.23888143,1.526200417,-73.5235497,1.694189729,8,Cfb
Solanum_lesteri,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,2127.714286,331.6370219,16.89875557,0.690574859,-96.92791729,0.419749249,1,Cwb
Solanum_limbaniense,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,0,1,0,0,3253.96875,757.3937134,-14.19691266,0.332618026,-69.56257478,0.19933371,4,ET
